PG.ProteinGroups,PG.Genes,Brain_C9FTLD_TDP_1,Brain_C9FTLD_TDP_2,Brain_C9FTLD_TDP_3,Brain_C9FTLD_TDP_4,Brain_C9FTLD_TDP_5,Brain_C9FTLD_TDP_6,Brain_C9FTLD_TDP_7,Brain_C9FTLD_TDP_8,Brain_C9FTLD_TDP_9,Brain_C9FTLD_TDP_10,Brain_Control_1,Brain_Control_2,Brain_Control_3,Brain_Control_4,Brain_Control_5,Brain_Control_6,Brain_Control_7,Brain_Control_8,Brain_Control_9,Brain_Control_10,[6] 131115P.PG.Quantity,[16] 131118P.PG.Quantity,[26] 4900020P.PG.Quantity,[31] 4900056P.PG.Quantity,[5] 131115C.PG.Quantity,[11] 131118C.PG.Quantity,[21] 4900020C.PG.Quantity,[31] 4900056C.PG.Quantity
A0A024RBG1;A0A024RBG1,NUDT4B,17576.69141,4535.394043,16055.87305,22439.62305,18936.44727,23967.23828,15152.38184,15245.70703,37222.34375,43369.39453,26671.94727,18719.62109,14837.98926,49333.23438,47327.85156,37690.79688,35452.71094,77029.65625,91619.38281,59555.55469,5660.276611,,,,,,,
A0A075B6H7;A0A075B6H7,IGKV3-7,12668.22949,45806.19922,96092.14844,87920.91406,17922.25,128982.625,162325.9219,160274.7344,110619.0234,236419.125,271764.5,105969.0313,234730.1719,111084.6094,302211.625,59656.24219,113186.6641,59015.13672,440004.625,104091.6563,902866.8613,365746.1035,11041444.06,8806419.5,2580288.309,838116.4102,1762404.65,9848726.828
A0A075B6H9;A0A075B6H9,IGLV4-69,NaN,NaN,NaN,NaN,NaN,NaN,2837.205322,NaN,3686.163818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52364.65576,16521.65039,78218.79883,34253.33398,5414.07666,,13324.38184,15299.36816
A0A075B6I0;A0A075B6I0,IGLV8-61,NaN,NaN,3877.733643,12743.95703,NaN,NaN,NaN,NaN,12466.3916,NaN,7926.787109,NaN,5195.936035,NaN,NaN,12479.7334,NaN,NaN,NaN,13182.96875,266471.9482,98158.39941,193283.2461,181250.8401,181131.5859,43198.08008,135414.4282,140922.7627
A0A075B6I1;A0A075B6I1,IGLV4-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,11496.70313,,,,,,
A0A075B6I9;A0A075B6I9;P04211;P04211,IGLV7-46;IGLV7-43,NaN,NaN,NaN,NaN,22484.28516,NaN,NaN,NaN,NaN,50974.90625,NaN,141196.5625,NaN,NaN,NaN,NaN,NaN,NaN,62297.96094,NaN,125136.6123,115407.6399,475935.9277,495620.7578,235842.6914,81755.74072,219304.415,189221.1899
A0A075B6J6;A0A075B6J6,IGLV3-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,331231.625,,,,,,,
A0A075B6J9;A0A075B6J9,IGLV2-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52725.52197,2164430.547,140762.957,258755.1016,104628.1709,26239.72119,52523.43164,141695.4102
A0A075B6K0;A0A075B6K0,IGLV3-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5018.246094,,,,12446.24707,,16927.44678,1524.183472
A0A075B6K4;A0A075B6K4,IGLV3-10,NaN,14497.09375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73823.46777,70484.01611,198522.3726,276562.9912,116448.8735,41397.05933,185589.3213,127774.5425
A0A075B6K5;A0A075B6K5,IGLV3-9,3577.39917,12886.64844,4564.248047,16063.18945,4361.583984,9984.509766,27843.53516,25004.94727,16538.58984,59142.24609,29379.64453,14752.07617,37988.32813,NaN,53189.96094,8488.816406,33227.46484,2681.571777,11938.64258,21695.95313,302802.7969,168559.9937,647222.3086,1003976.898,428095.4967,431096.7339,439897.8035,1079442.734
A0A075B6P5;A0A075B6P5;P01615;P01615,IGKV2-28;IGKV2D-28,NaN,NaN,16911.85938,NaN,5232.570801,NaN,NaN,NaN,NaN,NaN,35141.08203,NaN,78822.9375,NaN,35252.16016,NaN,NaN,NaN,NaN,NaN,105430.1938,121760.2585,97874.32617,358367.5049,559626.2813,168120.5195,210244.8149,277886.9219
A0A075B6Q5;A0A075B6Q5,IGHV3-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,313816.7529,35464.93457,73756.53711,75604.99341,41373.32471,24079.89795,71563.51953,58203.19385
A0A075B6R2;A0A075B6R2,IGHV4-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57606.45044,162539.0928,,398385.4028,22795.75879,34346.52197,,171069.4395
A0A075B6R9;A0A075B6R9;A0A0C4DH68;A0A0C4DH68,IGKV2D-24;IGKV2-24,1379.668701,4132.125,NaN,NaN,NaN,NaN,NaN,932.4477539,12158.54883,NaN,3728.070557,NaN,4445.039551,NaN,2033.78186,NaN,NaN,NaN,NaN,NaN,25829.35083,36495.19653,22469.50977,64046.83984,41064.17676,53943.61829,24258.70752,49620.61914
A0A075B6S2;A0A075B6S2,IGKV2D-29,14134.48047,25324.1582,40454.71875,40856.76172,18222.47461,39479.85156,35150.11719,21050.92969,67746.8125,55307.57813,73941.8125,63917.60938,71166.0625,27538.1543,52515.77344,19161.59766,19784.70117,18372.98438,56034.89063,19922.87891,138548.7671,1223192.521,952691.6133,1053434.973,1661306.332,78605.81787,425829.668,1780002.887
A0A075B6S5;A0A075B6S5,IGKV1-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41048.07813,77741.59375,42437.96936,65013.88892,62589.25732,57778.22437,68803.39087,58011.79419
A0A075B6S9;A0A075B6S9;P0DSN7;P0DSN7,IGKV1-37;IGKV1D-37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,4558.099121,8512.663086,,6359.776367,7126.012207,28579.02637,8770.789307
A0A075B759;A0A075B759;F5H284;F5H284;P0DN26;P0DN26;Q9Y536;Q9Y536,PPIAL4E;PPIAL4D;PPIAL4F;PPIAL4A,598373.5,656297.875,1257619.125,846048.875,586727.875,1516296.625,1196225,1140028.125,1222060.875,775035.125,747536.5,1205460,907881.5,1219373.875,1173261,1167123.5,1080263.75,854148.8125,883064.4375,1746039.125,627793.9609,515632.3906,154608.6816,73020.85449,26750.49438,33065.06274,36175.98572,17368.34204
A0A087WSX0;A0A087WSX0,IGLV5-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160699.3281,58226.77734,542609.0547,137177.041,101827.1642,36859.42651,659867.1011,40326.86914
A0A087WSY6;A0A087WSY6,IGKV3D-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168470.1738,419036.2402,787067.2422,682403.3589,442540.7217,405508.481,803295.561,480471.375
A0A087WSZ0;A0A087WSZ0,IGKV1D-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2149.964355,NaN,NaN,NaN,NaN,NaN,10640.78101,28328.1543,6500.013184,951.3660889,7162.480225,11324.02405,17177.34839,6833.547852
A0A087WW87;A0A087WW87;P01614;P01614,IGKV2-40;IGKV2D-40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,166262.3936,12814.83008,110258.8213,194601.5469,167820.0996,29517.36279,88601.08789
A0A087WXM9;A0A087WXM9,MEIKIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0A096LP01;A0A096LP01,SMIM26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0A0A0MRZ8;A0A0A0MRZ8;P04433;P04433,IGKV3D-11;IGKV3-11,34914.78516,85998.33594,170270.9063,223442.6563,84185.29688,323601.2188,201932.0313,150281.0938,396927.1563,301586.75,289230.0938,305586.2813,402093.2188,291665.3125,545418.875,159844,257400.5469,267446.3125,259980.4219,162710.4063,1944751.424,638287.6494,4435883.484,15188835.47,1750443.965,789603.1602,812482.8984,5908429.75
A0A0A0MS01;A0A0A0MS01,TRGV10,1727.443115,3846.251221,NaN,NaN,NaN,NaN,NaN,3493.214844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0A0A0MS14;A0A0A0MS14,IGHV1-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16121.521,45109.41895,64964.63574,228994.5137,39126.36133,19183.41992,61915.01807,91337.11426
A0A0A0MS15;A0A0A0MS15,IGHV3-49,NaN,13236.11914,90771.48438,20125.07813,13037.28418,NaN,65770.21094,11065.39258,NaN,49604.30078,108724.3594,85842.67188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1555158.084,408874.6602,241582.4199,480332.5371,1025254.742,112270.0244,456226.8696,976801.0923
A0A0A0MT36;A0A0A0MT36,IGKV6D-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1761.943604,86245.55469,66754.2041,47753.23486,235742.3828,51870.2124,167061.6249,288012.8467
A0A0B4J1U3;A0A0B4J1U3,IGLV1-36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10961.09473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6597.107788,1593.033569,,,,21471.8042,10502.32788,16295.44116
A0A0B4J1U7;A0A0B4J1U7,IGHV6-1,NaN,NaN,NaN,30853.69531,NaN,NaN,NaN,59488.60938,48533.53125,69553.09375,NaN,123607.7422,NaN,NaN,NaN,261196.2969,NaN,56874.92578,NaN,NaN,335614.9238,80399.92773,489062.8105,361720.6738,435470.9019,31991.0459,523450.1104,140037.5186
A0A0B4J1V0;A0A0B4J1V0,IGHV3-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56863.53174,130222.6479,172064.7498,293025.2266,78399.81787,62110.52197,142323.1709,185012.2998
A0A0B4J1V2;A0A0B4J1V2,IGHV2-26,NaN,NaN,NaN,NaN,NaN,3247.184326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16642.80347,8956.434814,52430.25,118023.7305,20996.34619,22750.10168,15425.95862,28949.95215
A0A0B4J1V6;A0A0B4J1V6,IGHV3-73,1178.495972,7606.657715,32406.83789,51246.32422,10605.73633,32827.13672,20279.3457,NaN,33514.17578,66938.08594,89881.85156,82619.54688,48764.37109,14218.9502,51230.27344,16132.5127,29951.67188,19125.73828,18645.46094,38512.93359,297251.2158,194635.8633,471208.8418,1070601.5,369839.127,320747.8784,496043.2021,718493.7158
A0A0B4J1X5;A0A0B4J1X5,IGHV3-74,NaN,38239.46875,98376.6875,NaN,4687.146484,20740.39258,28891.54492,22040.85156,NaN,39220.46094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16154.53906,NaN,72084.9668,24011.49072,160930.0039,162539.1172,95264.42236,122073.1851,51856.82813,85605.67432
A0A0B4J1X8;A0A0B4J1X8,IGHV3-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,358451.3125,138521.9844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7384.209473,2487.430176,29225.51782,114966.0918,44635.03516,20593.69843,33470.64746,48134.41064
A0A0B4J1Y8;A0A0B4J1Y8,IGLV9-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10779.73828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80391.11328,12199.24121,30113.99219,58751.06592,189218.2451,78428.18262,77782.28027,126999.0432
A0A0B4J1Y9;A0A0B4J1Y9,IGHV3-72,NaN,NaN,NaN,8531.345703,NaN,3953.327148,NaN,NaN,NaN,9723.77832,19077.20898,7566.461426,10884.31641,NaN,7249.834473,3574.219482,NaN,NaN,3843.506348,8303.400391,579864.1509,286808.0586,251463.373,701009.4434,237212.3232,141559.4937,86018.79346,86734.06445
A0A0B4J263;A0A0B4J263,TRAV39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1237.715698,,,,,,18164.86523,
A0A0B4J2D5;A0A0B4J2D5;P0DPI2;P0DPI2,GATD3B;GATD3A,65210.68359,20647.63867,78447.79688,95337.9375,83863.33594,120407.7656,153148.5313,57205.96484,191828.2969,169228.2813,159571.1406,97344.94531,176932.4219,293095.0313,337970.8438,166204.8125,343655.9063,286003.4688,167863.1719,241865.1719,15464.77393,64778.21582,,,,,,
A0A0B4J2D9;A0A0B4J2D9;P0DP09;P0DP09,IGKV1D-13;IGKV1-13,NaN,8930.328125,NaN,NaN,NaN,NaN,NaN,17484.17383,NaN,NaN,NaN,NaN,NaN,5942.182129,NaN,NaN,NaN,NaN,NaN,15289.48242,9806.708008,339473.5898,111606.6812,,19850.27344,758325.4277,116069.6835,12802.6875
A0A0B4J2F2;A0A0B4J2F2;P57059;P57059,SIK1B;SIK1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0A0C4DH24;A0A0C4DH24,IGKV6-21,NaN,NaN,NaN,NaN,NaN,8439.00293,NaN,NaN,NaN,NaN,11882.68262,NaN,8180.73584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275752.8047,61446.58789,234661.8965,81925.03442,9563.802246,89912.53857,52184.65576,100169.5029
A0A0C4DH25;A0A0C4DH25,IGKV3D-20,NaN,7193.560547,26760.21484,44981.39844,NaN,49957.08984,53038.87891,NaN,53164.5,102426.9688,56643.65234,38051.50781,91960.3125,19918.73633,159978.6875,NaN,50608.00781,45059.61719,53622.14844,NaN,163973.9551,835783.2578,81821.44775,1505234.07,756523.2813,775390.8613,1329321.105,1498559.965
A0A0C4DH29;A0A0C4DH29,IGHV1-3,NaN,NaN,NaN,NaN,NaN,53574.82422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21169.0459,36702.3335,,63171.43896,47501.32666,33368.34717,2338.628174,88746.71753
A0A0C4DH30;A0A0C4DH30,IGHV3-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5326.087891,23676.12744,,45720.02466,6298.60791,,9575.713867,5331.935059
A0A0C4DH31;A0A0C4DH31,IGHV1-18,NaN,NaN,NaN,NaN,NaN,2070.885498,NaN,NaN,3441.547607,3753.266846,NaN,NaN,2505.796631,NaN,NaN,NaN,NaN,NaN,3275.705811,2116.928223,60191.75806,28402.12866,35633.51685,40679.83301,93974.87842,26595.51563,36626.66528,57836.77295
A0A0C4DH33;A0A0C4DH33,IGHV1-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39434.92969,111735.9001,8872.675781,82730.11523,52461.52881,26827.24658,66592.31006,65077.71826
A0A0C4DH34;A0A0C4DH34,IGHV4-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84163.9082,23560.02588,5381.249878,38381.46289,14298.90601,8167.39502,22484.19141,16676.87256
A0A0C4DH35;A0A0C4DH35,IGHV3-35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18995.52539,24610.75586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193218.8428,103246.1362,117169.248,391468.2803,219288.7695,78752.12109,105637.5459,80666.8479
A0A0C4DH36;A0A0C4DH36,IGHV3-38,NaN,NaN,NaN,13918.60547,NaN,14682.38281,6592.641113,NaN,16713.77148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80729.4502,87375.58447,248780.3047,124621.0664,183895.5806,66779.79077,112011.1211,155792.4541
A0A0C4DH38;A0A0C4DH38,IGHV5-51,NaN,4594.088379,13565.19629,5228.795898,NaN,16207.97656,17107.44727,18824.85156,12689.39746,22401.91211,21854.32227,9570.063477,16846.74219,NaN,37490.75781,12746.4082,NaN,NaN,35603.41406,NaN,156953.2969,217939.3679,325747.7363,516431.6191,276027.3833,134365.7454,336050.3037,330211.7925
A0A0C4DH39;A0A0C4DH39,IGHV1-58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,7157.418945,,7497.433105,92630.18262,23767.88477,5753.103027,12845.46631
A0A0C4DH43;A0A0C4DH43,IGHV2-70D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350374.8633,427944.0439,814791.248,148709.9521,308781.0864,395530.5566,530975.3428,219959.0684
A0A0C4DH67;A0A0C4DH67,IGKV1-8,NaN,NaN,12052.78906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252476.0781,675481.9629,216386.9551,438434.75,303417.8013,157474.3467,297856.2139,305630.0449
A0A0G2JMI3;A0A0G2JMI3,IGHV1-69-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,17609.56836,,24262.48828,,4221.647461,
A0A0G2JS06;A0A0G2JS06,IGLV5-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5109.977539,11699.47437,131163.5938,94330.51465,65097.74072,2376.953613,98372.66504,23471.81592
A0A0J9YX35;A0A0J9YX35,IGHV3-64D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79988.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,264679.0791,140873.7925,251965.8994,154237.6519,190618.5479,76409.43457,205005.3169,178780.3633
A0A0J9YX94;A0A0J9YX94,PNMA6F,NaN,NaN,NaN,28011.08203,NaN,15917.47363,NaN,NaN,NaN,9387.580078,NaN,17917.88672,NaN,18697.08594,30425.12891,29652.62109,23109.11719,NaN,26658.64453,NaN,,,,,,,,
A0A0J9YXX1;A0A0J9YXX1,IGHV5-10-1,NaN,4435.14502,7244.87793,50118.90625,12038.24121,45807.62891,45335.71484,NaN,NaN,44975.25391,71525.35156,13202.7041,27037.08984,42252.44141,91302.05469,NaN,111388.7266,NaN,NaN,31198.26953,154830.1055,179397.2285,119488.4414,953402.2402,548411.521,246440.2721,534909.5266,655720.6953
A0A0U1RQS6;A0A0U1RQS6,TMEM275,13951.67969,5030.679199,NaN,48955.25781,12874.96289,12017.64453,41314.63281,18958.11328,NaN,12550.72656,31599.9043,45778.92188,NaN,48746.51172,NaN,17400.34961,NaN,NaN,14306.40625,NaN,,,,,,,,
A0A0U1RR11;A0A0U1RR11;A0A0U1RRI6;A0A0U1RRI6;P0DPI3;P0DPI3,CENPVL1;CENPVL3;CENPVL2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0A1B0GTC6;A0A1B0GTC6,C3orf85,1612.601318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2186.441406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422075.9668,379047.9233,547232.7256,344591.979,,,,
A0A1B0GUJ8;A0A1B0GUJ8,PNMA8C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0AV96;A0AV96,RBM47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0AVF1;A0AVF1,TTC26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0AVI4;A0AVI4,TMEM129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0AVT1;A0AVT1,UBA6,12877.14258,6280.558594,53276.85156,64663.88672,21418.07031,26292.6543,34527.60547,14086.95117,66334.46875,40183.19922,92284,117648.3203,30433.75391,156293.2188,139531.1406,105104.0391,132360.1719,105513.3125,108208.7891,109701.0234,60017.44189,11427.08948,,3421.734619,,,,
A0FGR8;A0FGR8,ESYT2,31771.32031,9164.988281,52976.24219,123101.3594,46254.51953,45348.33984,79167.50781,51423.14063,95167.67188,74079.45313,163632,166719.0625,85694.0625,202758.9219,208237.3438,126692.4063,171567.7969,142346.6875,95894.82813,166344.7813,61426.50488,47744.41528,16925.36011,17139.46509,24802.86328,,9831.638672,
A0JLT2;A0JLT2,MED19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0JNW5;A0JNW5,UHRF1BP1L,NaN,NaN,NaN,NaN,1251.285767,NaN,NaN,NaN,3627.64502,NaN,NaN,NaN,1713.110596,NaN,2976.268066,NaN,2029.106079,NaN,3308.945557,2068.70752,,,,,,,,
A0MZ66;A0MZ66,SHTN1,10490.64648,8392.486328,41744.95703,39339.13672,16335.08203,32748.21484,37178.41406,17865.70117,61840.88281,29808.34961,56282.91406,54606.21094,22857.4043,59657.30859,57878.41797,59598.51172,70759.46094,56002.53125,52734.16016,64350.26563,21746.09033,66201.33008,,,,,4463.621094,
A0PJW6;A0PJW6,TMEM223,5879.135254,NaN,NaN,31202.51172,11384.03711,12033.47461,23272.09961,12200.71875,13040.57617,12963.97461,33943.65234,8065.855469,17129.80078,36064.91797,29482.29102,14269.12793,27965.91992,14505.4707,12954.42969,24469.5625,,689410.25,,,,,,
A0PJY2;A0PJY2,FEZF1,23658.57813,21687.26953,82044.15625,305401.0625,107657.6797,123486.7969,NaN,20567.45703,133149.7656,NaN,373316.25,298677.5313,138268.6719,319553.8125,381131.4688,264267.3438,326468.1875,297277.5313,140790.625,224599.2813,,,,,,,,
A0PJZ3;A0PJZ3,GXYLT2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A0PK00;A0PK00,TMEM120B,3990.158447,NaN,NaN,NaN,5156.489746,NaN,NaN,NaN,NaN,NaN,1145.978516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A1A4S6;A1A4S6,ARHGAP10,27476.64453,11790.83496,NaN,7202.537598,137598.6094,8306.078125,NaN,69825.33594,NaN,NaN,NaN,NaN,NaN,14774.88086,19803.28516,24196.50195,6671.053223,NaN,21368.20117,NaN,39512.10376,14637.79102,3162.010986,72395.10016,,8012.549316,123908.1152,
A1A5C7;A1A5C7,SLC22A23,19430.63672,8485.412109,55417.91406,101560.9531,31318.35938,46998.44531,76575.99219,24945.91016,54655.88281,82557.92188,67457.5625,90561.09375,45337.05859,79734.21094,87496.92969,81944.28906,88614.38281,85965.67188,48024.42969,94092.375,2586.81665,,,,,,,
A1KZ92;A1KZ92,PXDNL,NaN,NaN,NaN,NaN,NaN,NaN,6506.647461,NaN,7080.584473,10237.41113,NaN,NaN,NaN,NaN,NaN,2372.686035,NaN,NaN,5297.424316,9116.560547,,,,,,,,
A1L020;A1L020,MEX3A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A1L0T0;A1L0T0,ILVBL,64496.17578,36120.80078,116816.5938,148817.1875,72756.32031,131880.5781,173641.2969,87862.04688,135863.4063,137015.2031,126233.5,146172.7813,113057.6328,155142.0625,180453.9531,101058.5547,142663.5156,130221.5234,78051.78125,145069.0781,65031.38574,50814.31836,63766.29492,53410.32813,,,,
A1L170;A1L170,C1orf226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A1L3X0;A1L3X0,ELOVL7,NaN,NaN,NaN,NaN,15946.18652,NaN,NaN,NaN,18060.03516,16224.60547,NaN,27016.10156,NaN,NaN,NaN,27561.44727,NaN,NaN,NaN,NaN,14746.55103,12010.03955,,,,,,
A1L4H1;A1L4H1,SSC5D,1878.076416,3204.443359,10010.58691,6166.354004,NaN,5163.638672,NaN,3381.206543,4185.647949,67201.14844,NaN,19756.02148,36106.41016,NaN,8601.794922,NaN,NaN,7842.303711,NaN,NaN,50235.90576,62489.34473,63708.8457,53015.31201,306931.3672,159113.4541,130000.6943,95426.58301
A1X283;A1X283,SH3PXD2B,17568.62305,8349.108398,46885.53125,42154.28516,12690.92871,20891.51563,51999.33203,17251.18359,55979.89844,34891.82422,66451.14063,42717.28516,24834.71289,33101.375,46069.23828,26732.70117,36248.42969,24294.71094,34086.75,70835.10156,34048.04883,15552.12341,3145.148438,2719.740479,,,1036387.75,
A1XBS5;A1XBS5,FAM92A,NaN,NaN,NaN,3096.171143,NaN,NaN,NaN,NaN,NaN,NaN,8380.916992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A1YPR0;A1YPR0,ZBTB7C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
A1Z1Q3;A1Z1Q3,MACROD2,28695.26172,10438.35742,32527.31641,67315.15625,22830.39453,39158.75391,57582.60547,29492.77539,61645.92188,38436.49609,62601.10938,67691.75,30258.55469,91157.77344,69059.83594,37397.58594,59138.625,46573.6875,37198.44141,55260.25781,,,,,,,,
